t;framecounter;lat;long;height;GPS_satellites;temp;voltage;temp_int;pressure;humidity_rel;RSSI;CRC;r;v_z;wind;wind_direction;wind_direction_deg;vapor_pressure;dew_point
250,0;99,0;1,2097154919442907;0,27943024662653215;0,7395;12,0;1,8265946254259688;3,96;29,25757050926711;89,74450999999999;68,69;-65,0;3,0;2,0400832703241707;6,125;15,737798117641212;-2,308607828398274;-132,2734851180833;0,4874259376379248;-2,7209985461654296
254,0;100,0;1,2097240140379624;0,2794389352246144;0,766;12,0;1,7767515875164577;3,96;29,25757050926711;89,41794999999999;68,54;-60,0;3,0;2,088159630748186;6,625;19,351464120103895;-2,346520316801807;-134,44571069444441;0,484396209845401;-2,795251875071581
258,0;101,0;1,209728940927908;0,27944516029045746;0,7865;12,0;1,7021540016625067;3,96;29,25757050926711;89,03681;68,24;-64,0;3,0;2,1172258734771936;5,125;12,623226489883933;-2,240308150097791;-128,36020180936436;0,4793609078979757;-2,919602563265463
262,0;102,0;1,2097370635157139;0,2794508195205571;0,8115;12,0;1,5960305645131712;3,96;29,25757050926711;88,72179;67,51;-66,0;3,0;2,166226973579192;6,25;15,741048658006035;-2,5330663924530077;-145,1340135139864;0,4701575501397439;-3,150004597570309
266,0;103,0;1,2097407920625949;0,27946067312591505;0,844;12,0;1,5361315699493048;3,96;29,25757050926711;88,41261;67,45;-68,0;3,0;2,191233540498365;8,125;16,75206577916481;-1,9325393874627832;-110,7263506444148;0,4674555586626054;-3,218430791270674
270,0;104,0;1,209746384621117;0,27947595313445045;0,872;12,0;1,5960305645131712;3,96;29,25757050926711;88,13575999999999;66,89;-62,0;3,0;2,221529003928449;7,0;25,87258270903823;-1,921657686564754;-110,10287510903402;0,46583970565616156;-3,259524198245857
274,0;105,0;1,209751977354172;0,27949389616635845;0,901;12,0;1,592529488845912;3,96;29,25757050926711;87,89244000000001;65,77;-67,0;3,0;2,251484309057935;7,25;29,884693708575654;-1,8729466164737518;-107,31193637725364;0,4579092750474129;-3,463114948748789
278,0;106,0;;;;;1,550218523377339;3,96;29,25757050926711;87,68385;65,43;-64,0;2,0;;;;;;0,45397635722609747;-3,5652797657804336
282,0;107,0;1,2097623636340176;0,27952428950448566;0,94;12,0;;;;;;-68,0;1,0;2,3060307014025394;;;;;;
286,0;108,0;1,2097662251749879;0,2795408676889186;0,965;12,0;1,4798669918154133;3,96;29,25757050926711;87,22184;65,38;-69,0;3,0;2,3285584232241345;6,25;27,0666010549431;-1,7996448295016507;-103,11205335298521;0,4510388523858242;-3,642116167154288
290,0;109,0;1,2097704862218235;0,2795495894482567;0,993;12,0;1,4307443538002076;3,96;29,25757050926711;86,93630999999999;65,16;-62,0;3,0;2,359402604741511;7,0;15,435123274664097;-2,0252449479258723;-116,03798799634467;0,44772631154140724;-3,7293132198451153
294,0;110,0;1,2097770109606993;0,27956773232036414;1,018;12,0;1,294406870482078;3,96;29,25757050926711;86,66753;65,31;-67,0;3,0;2,3976224522793945;6,25;30,65805923770312;-1,9160251869451421;-109,7801566527212;0,4437982575704064;-3,833480359950635
